,product_id,product_category,product_name,product_price,scrapy_data,style_id,color_id,color_name,Fit,Composition,Size,Product safety
31,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark denim blue,Skinny fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/32",
32,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Black,Skinny fit,"Pocket lining: Polyester 63%, Cotton 37%",,
33,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Black,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
34,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Denim blue,Skinny fit,"Pocket lining: Polyester 63%, Cotton 37%",,
35,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
36,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Light denim blue,Skinny fit,"Pocket lining: Polyester 63%, Cotton 37%",,
37,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Light denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
38,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark blue,Skinny fit,"Pocket lining: Polyester 63%, Cotton 37%",,
39,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
40,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark denim blue,Skinny fit,"Pocket lining: Polyester 63%, Cotton 37%",,
41,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
42,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Black,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 32/32",
43,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Black,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 32/32",
44,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Denim blue,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 32/32",
45,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 32/32",
46,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark gray,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 32/32",
47,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark gray,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 32/32",
48,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Light denim blue,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 32/32",
49,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Light denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 32/32",
50,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark blue,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 32/32",
51,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Dark blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 32/32",
52,0985159002,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-08-04 21:06:06,0985159,002,Black,Skinny fit,"Shell: Cotton 99%, Elastane 1%",,
