,product_id,product_category,product_name,product_price,style_id,color_id,color_name,Fit,Composition,Size,Product safety
0,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Black denim,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
1,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Blue washed out,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
2,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
3,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Light denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
4,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Dark denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
5,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Black washed out,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
6,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
7,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,White denim,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
8,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Light blue washed out,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
9,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Super light denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
10,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Black/trashed,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
11,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Light denim blue,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
12,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Denim blue/bleached,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
13,0427159006,men_jeans_skinny,Trashed Skinny Jeans,$ 39.99,0427159,006,Black/bleached,Skinny fit,"Cotton 93%, Polyester 6%, Elastane 1%","The model is 188cm/6'2"" and wears a size 32/32",
14,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
15,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark gray denim,Slim fit,"Cotton 98%, Elastane 2%",,
16,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
17,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Gray,Slim fit,"Cotton 98%, Elastane 2%",,
18,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Light denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
19,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Midnight blue,Slim fit,"Cotton 98%, Elastane 2%",,
20,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark gray,Slim fit,"Cotton 98%, Elastane 2%",,
21,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
22,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,White,Slim fit,"Cotton 98%, Elastane 2%",,
23,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Pale denim blue,Slim fit,"Cotton 98%, Elastane 2%",,
24,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
25,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark denim blue,Slim fit,Pocket lining: Cotton 100%,,
26,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark gray denim,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
27,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Dark gray denim,Slim fit,Pocket lining: Cotton 100%,,
28,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Denim blue,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
29,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Denim blue,Slim fit,Pocket lining: Cotton 100%,,
30,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Gray,Slim fit,"Cotton 88%, Polyester 10%, Elastane 2%",,
31,0636207006,men_jeans_slim,Slim Jeans,$ 19.99,0636207,006,Gray,Slim fit,Pocket lining: Cotton 100%,,
